ticker,tv_symbol,forecast_url,market,asset_type,name,theme,last_attempt_date,rating_date,next_refresh_due,current_price,tv_avg_target,tv_high_target,tv_low_target,tv_upside_pct,tv_high_upside_pct,tv_low_upside_pct,tv_analyst_count_target,tv_consensus,tv_analyst_count_rating,source_quality,freshness,stale_days,status,note
4063.T,,,JP,stock,信越化学,半導体材料・塩ビ,,,,6835.0,,,,,,,,,,NOT_APPLICABLE,not_applicable,,not_applicable,米国株以外はTradingView W04対象外
4042.T,,,JP,stock,東ソー,化学,,,,2930.5,,,,,,,,,,NOT_APPLICABLE,not_applicable,,not_applicable,米国株以外はTradingView W04対象外
1911.T,,,JP,stock,住友林業,住宅・木材,,,,1375.0,,,,,,,,,,NOT_APPLICABLE,not_applicable,,not_applicable,米国株以外はTradingView W04対象外
1928.T,,,JP,stock,積水ハウス,住宅,,,,3340.0,,,,,,,,,,NOT_APPLICABLE,not_applicable,,not_applicable,米国株以外はTradingView W04対象外
6326.T,,,JP,stock,クボタ,農機・水インフラ,,,,2751.5,,,,,,,,,,NOT_APPLICABLE,not_applicable,,not_applicable,米国株以外はTradingView W04対象外
7267.T,,,JP,stock,ホンダ,自動車,,,,1449.5,,,,,,,,,,NOT_APPLICABLE,not_applicable,,not_applicable,米国株以外はTradingView W04対象外
6501.T,,,JP,stock,日立,インフラ・DX,,,,4478.0,,,,,,,,,,NOT_APPLICABLE,not_applicable,,not_applicable,米国株以外はTradingView W04対象外
9861.T,,,JP,stock,吉野家HD,外食,,,,3060.0,,,,,,,,,,NOT_APPLICABLE,not_applicable,,not_applicable,米国株以外はTradingView W04対象外
7821.T,,,JP,stock,前田工繊,防災・土木資材,,,,1762.0,,,,,,,,,,NOT_APPLICABLE,not_applicable,,not_applicable,米国株以外はTradingView W04対象外
1377.T,,,JP,stock,サカタのタネ,種苗,,,,4185.0,,,,,,,,,,NOT_APPLICABLE,not_applicable,,not_applicable,米国株以外はTradingView W04対象外
6287.T,,,JP,stock,サトーHD,自動認識,,,,2370.0,,,,,,,,,,NOT_APPLICABLE,not_applicable,,not_applicable,米国株以外はTradingView W04対象外
4368.T,,,JP,stock,扶桑化学,半導体材料,,,,4640.0,,,,,,,,,,NOT_APPLICABLE,not_applicable,,not_applicable,米国株以外はTradingView W04対象外
9432.T,,,JP,stock,NTT/日本電信電話,通信,,,,144.3000030517578,,,,,,,,,,NOT_APPLICABLE,not_applicable,,not_applicable,米国株以外はTradingView W04対象外
